hero_id,Hero_Names,Carry_Car,Disabler_Dis,Initiator_Ini,Jungler_Jun,Support_Sup,Durable_Dur,Nuker_Nuk,Pusher_Pus,Escape_Esc,Role_Count,Class
1,Anti-Mage,Car,NA,NA,NA,NA,NA,Nuk,NA,Esc,3,AGI
2,Axe,NA,Dis,Ini,Jun,NA,Dur,NA,NA,NA,4,STR
3,Bane,NA,Dis,NA,NA,Sup,Dur,Nuk,NA,NA,4,INT
4,Bloodseeker,Car,Dis,Ini,Jun,NA,NA,Nuk,NA,NA,5,AGI
5,Crystal Maiden,NA,Dis,NA,Jun,Sup,NA,Nuk,NA,NA,4,INT
6,Drow Ranger,Car,Dis,NA,NA,NA,NA,NA,Pus,NA,3,AGI
7,Earthshaker,NA,Dis,Ini,NA,Sup,NA,Nuk,NA,NA,4,STR
8,Juggernaut,Car,NA,NA,NA,NA,NA,NA,Pus,Esc,3,AGI
9,Mirana,Car,Dis,NA,NA,Sup,NA,Nuk,NA,Esc,5,AGI
10,Morphling,Car,Dis,NA,NA,NA,Dur,Nuk,NA,Esc,5,AGI
11,Shadow Fiend,Car,NA,NA,NA,NA,NA,Nuk,NA,NA,2,AGI
12,Phantom Lancer,Car,NA,NA,NA,NA,NA,Nuk,Pus,Esc,4,AGI
13,Puck,NA,Dis,Ini,NA,NA,NA,Nuk,NA,Esc,4,INT
14,Pudge,NA,Dis,Ini,NA,NA,Dur,Nuk,NA,NA,4,STR
15,Razor,Car,NA,NA,NA,NA,Dur,Nuk,Pus,NA,4,AGI
16,Sand King,NA,Dis,Ini,Jun,NA,NA,Nuk,NA,Esc,5,STR
17,Storm Spirit,Car,Dis,Ini,NA,NA,NA,Nuk,NA,Esc,5,INT
18,Sven,Car,Dis,Ini,NA,NA,Dur,Nuk,NA,NA,5,STR
19,Tiny,Car,Dis,Ini,NA,NA,Dur,Nuk,Pus,NA,6,STR
20,Vengeful Spirit,NA,Dis,Ini,NA,Sup,NA,Nuk,NA,Esc,5,AGI
21,Windranger,Car,Dis,NA,NA,Sup,NA,Nuk,NA,Esc,5,INT
22,Zeus,NA,NA,NA,NA,NA,NA,Nuk,NA,NA,1,INT
23,Kunkka,Car,Dis,Ini,NA,NA,Dur,Nuk,NA,NA,5,STR
25,Lina,Car,Dis,NA,NA,Sup,NA,Nuk,NA,NA,4,INT
26,Lion,NA,Dis,Ini,NA,Sup,NA,Nuk,NA,NA,4,INT
27,Shadow Shaman,NA,Dis,Ini,NA,Sup,NA,Nuk,Pus,NA,5,INT
28,Slardar,Car,Dis,Ini,NA,NA,Dur,NA,NA,Esc,5,STR
29,Tidehunter,NA,Dis,Ini,NA,NA,Dur,Nuk,NA,NA,4,STR
30,Witch Doctor,NA,Dis,NA,NA,Sup,NA,Nuk,NA,NA,3,INT
31,Lich,NA,NA,NA,NA,Sup,NA,Nuk,NA,NA,2,INT
32,Riki,Car,Dis,NA,NA,NA,NA,NA,NA,Esc,3,AGI
33,Enigma,NA,Dis,Ini,Jun,NA,NA,NA,Pus,NA,4,INT
34,Tinker,Car,NA,NA,NA,NA,NA,Nuk,Pus,NA,3,INT
35,Sniper,Car,NA,NA,NA,NA,NA,Nuk,NA,NA,2,AGI
36,Necrophos,Car,Dis,NA,NA,NA,Dur,Nuk,NA,NA,4,INT
37,Warlock,NA,Dis,Ini,NA,Sup,NA,NA,NA,NA,3,INT
38,Beastmaster,NA,Dis,Ini,NA,NA,Dur,Nuk,NA,NA,4,STR
39,Queen of Pain,Car,NA,NA,NA,NA,NA,Nuk,NA,Esc,3,INT
40,Venomancer,NA,Dis,Ini,NA,Sup,NA,Nuk,Pus,NA,5,AGI
41,Faceless Void,Car,Dis,Ini,NA,NA,Dur,NA,NA,Esc,5,AGI
42,Wraith King,Car,Dis,Ini,NA,Sup,Dur,NA,NA,NA,5,STR
43,Death Prophet,Car,Dis,NA,NA,NA,NA,Nuk,Pus,NA,4,INT
44,Phantom Assassin,Car,NA,NA,NA,NA,NA,NA,NA,Esc,2,AGI
45,Pugna,NA,NA,NA,NA,NA,NA,Nuk,Pus,NA,2,INT
46,Templar Assassin,Car,NA,NA,NA,NA,NA,NA,NA,Esc,2,AGI
47,Viper,Car,Dis,Ini,NA,NA,Dur,NA,NA,NA,4,AGI
48,Luna,Car,NA,NA,NA,NA,NA,Nuk,Pus,NA,3,AGI
49,Dragon Knight,Car,Dis,Ini,NA,NA,Dur,Nuk,Pus,NA,6,STR
50,Dazzle,NA,Dis,NA,NA,Sup,NA,Nuk,NA,NA,3,INT
51,Clockwerk,NA,Dis,Ini,NA,NA,Dur,Nuk,NA,NA,4,STR
52,Leshrac,Car,Dis,NA,NA,Sup,NA,Nuk,Pus,NA,5,INT
53,Nature's Prophet,Car,NA,NA,Jun,NA,NA,Nuk,Pus,Esc,5,INT
54,Lifestealer,Car,Dis,NA,Jun,NA,Dur,NA,NA,Esc,5,STR
55,Dark Seer,NA,Dis,Ini,Jun,NA,NA,NA,NA,Esc,4,INT
56,Clinkz,Car,NA,NA,NA,NA,NA,NA,Pus,Esc,3,AGI
57,Omniknight,NA,NA,NA,NA,Sup,Dur,Nuk,NA,NA,3,STR
